City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal,last_name,first_name,Silver,Bronze,Gold
Montreal,1976,Aquatics,Diving,3M Springboard,"KÖHLER, Christa",Women,GDR,East Germany,W,Silver,Köhler,Christa,1,0,0
Montreal,1976,Aquatics,Diving,3M Springboard,"KOSENKOV, Aleksandr",Men,URS,Soviet Union,M,Bronze,Kosenkov,Aleksandr,0,1,0
Montreal,1976,Aquatics,Diving,3M Springboard,"BOGGS, Philip George",Men,USA,United States,M,Gold,Boggs,Philip,0,0,1
Montreal,1976,Aquatics,Diving,3M Springboard,"CAGNOTTO, Giorgio Franco",Men,ITA,Italy,M,Silver,Cagnotto,Giorgio,1,0,0
Montreal,1976,Aquatics,Diving,10M Platform,"WILSON, Deborah Keplar",Women,USA,United States,W,Bronze,Wilson,Deborah,0,1,0
Montreal,1976,Aquatics,Diving,10M Platform,"LOUGANIS, Gregory",Men,USA,United States,M,Silver,Louganis,Gregory,1,0,0
Montreal,1976,Aquatics,Diving,10M Platform,"VAYTSEKHOVSKAYA, Elena",Women,URS,Soviet Union,W,Gold,Vaytsekhovskaya,Elena,0,0,1
Montreal,1976,Aquatics,Diving,3M Springboard,"POTTER-MCINGVALE, Cynthia",Women,USA,United States,W,Bronze,Potter-Mcingvale,Cynthia,0,1,0
Montreal,1976,Aquatics,Diving,10M Platform,"DIBIASI, Klaus",Men,ITA,Italy,M,Gold,Dibiasi,Klaus,0,0,1
Montreal,1976,Aquatics,Diving,10M Platform,"ALEINIK, Vladimir",Men,URS,Soviet Union,M,Bronze,Aleinik,Vladimir,0,1,0
Montreal,1976,Aquatics,Diving,10M Platform,"KNAPE-LINDBERGH, Ulrika",Women,SWE,Sweden,W,Silver,Knape-Lindbergh,Ulrika,1,0,0
Montreal,1976,Aquatics,Diving,3M Springboard,"CHANDLER, Jennifer Kay",Women,USA,United States,W,Gold,Chandler,Jennifer,0,0,1
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Gold,Babashoff,Shirley,0,0,1
Montreal,1976,Aquatics,Swimming,400M Freestyle,"SHAW, Timothy Andrew",Men,USA,United States,M,Silver,Shaw,Timothy,1,0,0
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"PRIEMER, Petra",Women,GDR,East Germany,W,Silver,Priemer,Petra,1,0,0
Montreal,1976,Aquatics,Swimming,1500M Freestyle,"HOLLAND, Stephen",Men,AUS,Australia,M,Bronze,Holland,Stephen,0,1,0
Montreal,1976,Aquatics,Swimming,400M Individual Medley,"SMIRNOV, Andrei",Men,URS,Soviet Union,M,Bronze,Smirnov,Andrei,0,1,0
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"ANKE, Hannelore",Women,GDR,East Germany,W,Gold,Anke,Hannelore,0,0,1
Montreal,1976,Aquatics,Swimming,800M Freestyle,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Silver,Babashoff,Shirley,1,0,0
Montreal,1976,Aquatics,Swimming,800M Freestyle,"THÜMER, Petra",Women,GDR,East Germany,W,Gold,Thümer,Petra,0,0,1
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze,Smith,Rebecca,0,1,0
Montreal,1976,Aquatics,Swimming,200M Backstroke,"ROCCA, Peter Drake",Men,USA,United States,M,Silver,Rocca,Peter,1,0,0
Montreal,1976,Aquatics,Swimming,400M Freestyle,"GOODELL, Brian Stuart",Men,USA,United States,M,Gold,Goodell,Brian,0,0,1
Montreal,1976,Aquatics,Swimming,400M Individual Medley,"MCKEE, Alexander Timothy",Men,USA,United States,M,Silver,Mckee,Alexander,1,0,0
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"EVANS, Clayton",Men,CAN,Canada,M,Silver,Evans,Clayton,1,0,0
Montreal,1976,Aquatics,Swimming,200M Freestyle,"MONTGOMERY, James Paul",Men,USA,United States,M,Bronze,Montgomery,James,0,1,0
Montreal,1976,Aquatics,Swimming,100M Butterfly,"VOGEL, Matthew Haynes",Men,USA,United States,M,Gold,Vogel,Matthew,0,0,1
Montreal,1976,Aquatics,Swimming,100M Backstroke,"MATTHES, Roland",Men,GDR,East Germany,M,Bronze,Matthes,Roland,0,1,0
Montreal,1976,Aquatics,Swimming,100M Backstroke,"NABER, John Phillips",Men,USA,United States,M,Gold,Naber,John,0,0,1
Montreal,1976,Aquatics,Swimming,100M Backstroke,"ROCCA, Peter Drake",Men,USA,United States,M,Silver,Rocca,Peter,1,0,0
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"KRAUS, Michael",Men,FRG,West Germany,M,Bronze,Kraus,Michael,0,1,0
Montreal,1976,Aquatics,Swimming,200M Freestyle,"BRIGITHA, Enith",Women,NED,Netherlands,W,Bronze,Brigitha,Enith,0,1,0
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"DUNNE, David Michael",Men,GBR,United Kingdom,M,Bronze,Dunne,David,0,1,0
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"NABER, John Phillips",Men,USA,United States,M,Gold,Naber,John,0,0,1
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"HEMPEL, Claudia",Women,GDR,East Germany,W,Silver,Hempel,Claudia,1,0,0
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"MAC DONALD, Gary",Men,CAN,Canada,M,Silver,Mac Donald,Gary,1,0,0
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"BOGDANOV, Andrei",Men,URS,Soviet Union,M,Silver,Bogdanov,Andrei,1,0,0
Montreal,1976,Aquatics,Swimming,100M Butterfly,"HALL, Gary Wayne",Men,USA,United States,M,Bronze,Hall,Gary,0,1,0
Montreal,1976,Aquatics,Swimming,400M Individual Medley,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze,Smith,Rebecca,0,1,0
Montreal,1976,Aquatics,Swimming,200M Breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Gold,Koshevaya,Marina,0,0,1
Montreal,1976,Aquatics,Swimming,200M Backstroke,"GARAPICK, Nancy Ellen",Women,CAN,Canada,W,Bronze,Garapick,Nancy,0,1,0
Montreal,1976,Aquatics,Swimming,800M Freestyle,"WEINBERG, Wendy Elizabeth",Women,USA,United States,W,Bronze,Weinberg,Wendy,0,1,0
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold,Montgomery,James,0,0,1
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Silver,Raskatov,Vladimir,1,0,0
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold,Ender,Kornelia,0,0,1
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"JARDIN, Anne Elizabeth",Women,CAN,Canada,W,Bronze,Jardin,Anne,0,1,0
Montreal,1976,Aquatics,Swimming,100M Breaststroke,"YOZAITIS, Arvidas",Men,URS,Soviet Union,M,Bronze,Yozaitis,Arvidas,0,1,0
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"WRIGHT, Camille",Women,USA,United States,W,Silver,Wright,Camille,1,0,0
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"KRYLOV, Andrei",Men,URS,Soviet Union,M,Silver,Krylov,Andrei,1,0,0
Montreal,1976,Aquatics,Swimming,4X200M Freestyle Relay,"DOWNIE, Gordon Hunter",Men,GBR,United Kingdom,M,Bronze,Downie,Gordon,0,1,0
Montreal,1976,Aquatics,Swimming,200M Breaststroke,"WILKIE, David Andrew",Men,GBR,United Kingdom,M,Gold,Wilkie,David,0,0,1
Montreal,1976,Aquatics,Swimming,4X100M Freestyle Relay,"PEYTON, Kim Marie",Women,USA,United States,W,Gold,Peyton,Kim,0,0,1
Montreal,1976,Aquatics,Swimming,4X100M Medley Relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold,Montgomery,James,0,0,1
